function,dim,F,CR,mode,best_fitness,iteration
function 1,10,0.4,0.5,MSR,7247979.435708389,1
function 1,10,0.4,0.6,normal,65282255.91664373,1
function 1,10,0.4,0.6,PSR,3239215.870125811,1
function 1,10,0.4,0.6,MSR,6086465.364873663,1
function 1,10,0.4,0.7,normal,32246114.117776446,1
function 1,10,0.4,0.7,PSR,415189.55921942665,1
function 1,10,0.4,0.7,MSR,803675.5681237252,1
function 1,10,0.4,0.8,normal,13724735.07203986,1
function 1,10,0.4,0.8,PSR,11852.66128861755,1
function 1,10,0.4,0.8,MSR,9588636.086489761,1
function 1,10,0.4,0.9,normal,1323014.9661277493,1
function 1,10,0.4,0.9,PSR,12697324.54168607,1
function 1,10,0.4,0.9,MSR,17264599.482482657,1
function 1,10,0.4,1.0,normal,199097.09441611357,1
function 1,10,0.4,1.0,PSR,8593585402.891514,1
function 1,10,0.4,1.0,MSR,23333100317.08221,1
function 1,10,0.5,0.0,normal,69691875580.45659,1
function 1,10,0.5,0.0,PSR,205363967863.3125,1
function 1,10,0.5,0.0,MSR,125780548650.29396,1
function 1,10,0.5,0.1,normal,4259426726.4250245,1
function 1,10,0.5,0.1,PSR,635769616.4331356,1
function 1,10,0.5,0.1,MSR,310100637.0693993,1
function 1,10,0.5,0.2,normal,610672494.1612164,1
function 1,10,0.5,0.2,PSR,85149818.08870012,1
function 1,10,0.5,0.2,MSR,103546315.13356891,1
function 1,10,0.5,0.3,normal,448919938.55420405,1
function 1,10,0.5,0.3,PSR,46149226.98263618,1
function 1,10,0.5,0.3,MSR,2437145.803201048,1
function 1,10,0.5,0.4,normal,382727958.9444695,1
function 1,10,0.5,0.4,PSR,8750938.927410398,1
function 1,10,0.5,0.4,MSR,6670786.741455599,1
function 1,10,0.5,0.5,normal,183249247.36354068,1
function 1,10,0.5,0.5,PSR,17472328.263497442,1
function 1,10,0.5,0.5,MSR,4891836.489775118,1
function 1,10,0.5,0.6,normal,137850670.55236933,1
function 1,10,0.5,0.6,PSR,1469189.7774256002,1
function 1,10,0.5,0.6,MSR,845568.8617867808,1
function 1,10,0.5,0.7,normal,151753885.2541367,1
function 1,10,0.5,0.7,PSR,6617156.772806515,1
function 1,10,0.5,0.7,MSR,244143.7883492845,1
function 1,10,0.5,0.8,normal,67403482.83818056,1
function 1,10,0.5,0.8,PSR,130371.07193500729,1
function 1,10,0.5,0.8,MSR,99716.41753218354,1
function 1,10,0.5,0.9,normal,28364238.912306223,1
function 1,10,0.5,0.9,PSR,195376232.63775578,1
function 1,10,0.5,0.9,MSR,106145370.09266101,1
function 1,10,0.5,1.0,normal,5961522.474261386,1
function 1,10,0.5,1.0,PSR,15642486043.248383,1
function 1,10,0.5,1.0,MSR,27779131899.27998,1
function 1,10,0.6,0.0,normal,116154882120.7779,1
function 1,10,0.6,0.0,PSR,108148060324.36484,1
function 1,10,0.6,0.0,MSR,169113587280.82547,1
function 1,10,0.6,0.1,normal,3142912300.9366417,1
function 1,10,0.6,0.1,PSR,369918252.8123526,1
function 1,10,0.6,0.1,MSR,973285162.8807969,1
function 1,10,0.6,0.2,normal,870464842.173173,1
function 1,10,0.6,0.2,PSR,119082997.62111774,1
function 1,10,0.6,0.2,MSR,94969859.8609269,1
function 1,10,0.6,0.3,normal,561620261.1916354,1
function 1,10,0.6,0.3,PSR,39268727.0203744,1
function 1,10,0.6,0.3,MSR,32039834.445557494,1
function 1,10,0.6,0.4,normal,337141187.9030315,1
function 1,10,0.6,0.4,PSR,3715418.125095712,1
function 1,10,0.6,0.4,MSR,7926680.866997016,1
function 1,10,0.6,0.5,normal,575417270.9772946,1
function 1,10,0.6,0.5,PSR,6134871.872136809,1
function 1,10,0.6,0.5,MSR,18470963.41085019,1
function 1,10,0.6,0.6,normal,373130804.35852766,1
function 1,10,0.6,0.6,PSR,1149432.4828387774,1
function 1,10,0.6,0.6,MSR,15359929.616453547,1
function 1,10,0.6,0.7,normal,447464151.0332933,1
function 1,10,0.6,0.7,PSR,185599.2233909486,1
function 1,10,0.6,0.7,MSR,211763.3508891689,1
function 1,10,0.6,0.8,normal,254110717.80994904,1
function 1,10,0.6,0.8,PSR,581488.6912269326,1
function 1,10,0.6,0.8,MSR,20362114.928094663,1
function 1,10,0.6,0.9,normal,223834226.34937906,1
